OBJECTID,bcr_label,bcr_label_name,name_en,name_fr,name_sp,globalid,SHAPE_Length,SHAPE_Area
207,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{E6CA8ADA-385C-42AE-9458-52D41D943C69},7625.66111309627,2262971.16943336
208,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{A747CD52-5F91-4E6D-8F7B-9004E4997CBF},5305.58245293589,1544772.0380998
209,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{82E69062-E54E-49CC-888C-811181F1475B},4286.77899490055,835524.953211521
210,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{650F824F-534F-45D2-8753-D6B7FA13164B},3103.21979551802,552733.827056509
211,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{F40A41D0-29A6-4100-B2CA-E608F6D00631},3753.42038933812,464606.527567936
212,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{0E8BEEC2-9097-4759-9E1E-2887C30003BE},44389.0603219355,24024479.547635
213,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{79610140-728B-4119-9055-6B8B983CB546},35857.9455455115,25834656.8106657
214,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{B02A537D-34E1-44BD-8D9E-FA76939021D5},3251.25221650195,557493.440931238
215,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{3A186A7A-ADA7-4825-804C-05990557A978},18735.0953500867,8991491.68762984
216,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{326D8368-532A-45F6-8F52-5F2250454628},3417.89490618086,694533.686130578
217,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{02A6B838-A86F-4F69-8E80-6F0F3118833E},4134.75017642631,1094728.45700771
218,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{A7BE473E-685B-4D65-8041-BD432B07E565},28114.7892096121,19019429.7456202
219,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{626C21FD-2AD2-495A-8FAE-284F722BAADA},24377.5011060641,22161741.3387542
220,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{2E39D3E2-4903-4419-86FF-2C387B39FFB8},3472.91615761306,537460.893504489
221,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{99CBB006-B997-41C7-BDA4-E564BABC35BA},10844.7287270415,3073469.60366693
222,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{0D495663-8321-4686-8136-A74FA8E58B3D},7992.83082776249,2491759.31507081
223,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{7864AE91-0626-4228-B988-DEC540CD0DFB},18390.7693931329,5707009.1826135
224,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{FC62ACDB-B3A5-4197-8720-B2216984A7F3},4868.09324545712,1110828.58154125
225,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{F3F31754-5218-43CA-A2CE-A37986D1768E},16295.4459026582,8768282.78685784
226,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{6EA2983E-BDEE-482D-B64E-AD463DF49E4F},3553.37515459087,670966.364839998
227,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{5FC8608E-8607-4E88-B4D2-5B521987C43D},3124.31759669696,364533.294150598
228,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{DB4A4953-60E6-4C26-9E0F-6963601840CB},3075.38554628444,585223.521076477
229,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{3F68ADD4-C6A8-4351-8A3C-CECC308703C8},21711.140727182,13021039.7389341
230,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{02AB5BEF-A7D6-499D-B610-D6B4BE5B88B3},23099.6263857176,17381612.0993194
231,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{F6D8D380-03ED-4222-A406-20220D7F1BB5},6081.66636445004,1816313.60278176
232,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{905A361D-0212-4F3F-AE7D-49E330848E92},15268.0519765498,12350811.4576276
233,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{ECFE8708-79B0-4391-86E5-C8ADCE224F4B},4193.73473045284,1046358.6775127
234,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{78D12297-D980-46FA-A525-160CD05EAA5F},5781.60018733737,1843968.94954137
235,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{38DFD1D5-5292-4EAD-A732-F377CD4A03C8},42154.2108883268,24666122.3452248
236,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{5588C327-5CA6-43B7-954A-B52529EA75EA},14910.5852608008,8941477.9314727
237,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{CF9B7AFD-AB78-4611-A53E-3B3EF44085BD},3393.45964268648,419007.332081838
